year,strategy,blend_weight,accuracy,n_games,correct,model_only_acc
2025,C: Hybrid 35+15,0.0,0.6634615384615384,208,138,0.6394230769230769
2025,C: Hybrid 35+15,0.1,0.6586538461538461,208,137,0.6394230769230769
2025,C: Hybrid 35+15,0.2,0.6586538461538461,208,137,0.6394230769230769
2025,C: Hybrid 35+15,0.28,0.6586538461538461,208,137,0.6394230769230769
2025,C: Hybrid 35+15,0.35,0.6586538461538461,208,137,0.6394230769230769
2025,C: Hybrid 35+15,0.45,0.6682692307692307,208,139,0.6394230769230769
2025,C: Hybrid 35+15,0.55,0.6682692307692307,208,139,0.6394230769230769
2025,C: Hybrid 35+15,0.65,0.6490384615384616,208,135,0.6394230769230769
2025,D: +TeamStats top60,0.0,0.6634615384615384,208,138,0.6394230769230769
2025,D: +TeamStats top60,0.1,0.6586538461538461,208,137,0.6394230769230769
2025,D: +TeamStats top60,0.2,0.6586538461538461,208,137,0.6394230769230769
2025,D: +TeamStats top60,0.28,0.6682692307692307,208,139,0.6394230769230769
2025,D: +TeamStats top60,0.35,0.6682692307692307,208,139,0.6394230769230769
2025,D: +TeamStats top60,0.45,0.6634615384615384,208,138,0.6394230769230769
2025,D: +TeamStats top60,0.55,0.6682692307692307,208,139,0.6394230769230769
2025,D: +TeamStats top60,0.65,0.6682692307692307,208,139,0.6394230769230769
2025,E: TeamStats only,0.0,0.6634615384615384,208,138,0.5721153846153846
2025,E: TeamStats only,0.1,0.6538461538461539,208,136,0.5721153846153846
2025,E: TeamStats only,0.2,0.6538461538461539,208,136,0.5721153846153846
2025,E: TeamStats only,0.28,0.6586538461538461,208,137,0.5721153846153846
2025,E: TeamStats only,0.35,0.6490384615384616,208,135,0.5721153846153846
2025,E: TeamStats only,0.45,0.6634615384615384,208,138,0.5721153846153846
2025,E: TeamStats only,0.55,0.625,208,130,0.5721153846153846
2025,E: TeamStats only,0.65,0.6057692307692307,208,125,0.5721153846153846
